ds,yhat,yhat_lower,yhat_upper
2022-12-10,-12415.034529410032,-17347.22614056252,-7894.619864142616
2022-12-11,-9708.351651749612,-14151.157947327241,-5218.177193212148
2022-12-12,-8753.50209064807,-13326.164712968473,-4214.407438992349
2022-12-13,-8245.782263242141,-13072.651825316427,-3757.36042074038
2022-12-14,-7743.8732244065795,-12336.626608338125,-3036.2296197440173
2022-12-15,-6775.216643930568,-11346.225056128336,-2055.727573865002
2022-12-16,-6799.870655641907,-11430.467424878707,-2016.1700758035633
2022-12-17,-8279.095510969768,-12775.313569389671,-3764.8754355937267
2022-12-18,-5221.766131836481,-9845.168680682538,-411.97484342020056
2022-12-19,-4003.1043340086926,-8507.613093001268,663.3408516777254
2022-12-20,-3324.0163869092257,-7964.418500899681,1247.531171631091
2022-12-21,-2746.292797999179,-7482.9783072618,1934.0945059783533
2022-12-22,-1797.9576939839717,-6195.421457368127,2750.994373838393
2022-12-23,-1937.1677195211596,-6516.130548852477,2916.0524516976884
2022-12-24,-3620.907611686547,-8477.278774016278,1164.6863871034893
2022-12-25,-851.5749354341469,-5552.93761074723,3620.0177454906025
2022-12-26,4.059526535238547,-4864.915726469362,4372.701986997425
2022-12-27,255.2377957538447,-4098.23251860291,4635.571624497411
2022-12-28,351.69917924695255,-4225.452359095831,4788.720989108665
2022-12-29,777.9856948055076,-3478.1995264670504,5453.130307323861
2022-12-30,89.17899370522537,-4594.58541718397,4452.900793546816
2022-12-31,-2158.1676017964674,-6812.366295394301,2521.2741836756604
2023-01-01,47.01632569866524,-4422.187700089847,4531.4820562203395
2023-01-02,351.00103241006036,-4163.895162228847,4646.413792268813
2023-01-03,75.30854027060923,-4182.840274393678,4753.57434957012
2023-01-04,-319.10530934365306,-4787.4238610974035,4031.1128961285094
2023-01-05,-337.808438029193,-4800.8877572489,4250.764934395619
2023-01-06,-1417.3727892474108,-5788.2950389445405,2938.3586293290505
2023-01-07,-3994.608745955611,-8376.315658539574,455.5190626563284
2023-01-08,-2053.6321521011387,-6508.091124371924,2563.66974621505
2023-01-09,-1945.2384002087147,-6535.523655166906,2505.348631402912
2023-01-10,-2346.851804767154,-6554.874702111691,2632.299201824256
2023-01-11,-2798.291048222147,-7247.345665514539,1976.8516145923059
